,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Comment_8,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments
381,0,0,0,0,0,0,0,0,0,0,'F', No Comment , No Comment , No Comment , No Comment ,'As per counselor email','Entered Some date', No Comment , No Comment ,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,81,77,2,4,1,3,6,9,1,6,'F','Parent conference requested--','Parent conference requested--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Incomplete work,homework, projects--'", No Comment ,'Incomplete work--', No Comment ,0,7,15,79.0,1.5,3.5,0,1,2,0,0,0,1,0,0,0,2,0,0
383,0,85,0,0,4,0,0,0,6,0,'M', No Comment ,'Conscientious about classroom responsibilities--',"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--', No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,6,0,42.5,2.0,0.0,1,1,0,2,0,0,0,1,0,0,0,0,0
384,81,84,1,2,2,1,12,1,10,8,'F','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,22,9,82.5,1.5,1.5,0,4,0,0,1,0,0,0,0,0,0,0,0
385,76,80,3,3,2,2,6,0,12,14,'F','Student needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us.-- Student necesita ayuda adicional tanto en el contenido como en la gestión del tiempo. Se ofrece tutoría después de la escuela y mi puerta siempre está abierta para ayudar. Comuníquese conmigo si tiene preguntas específicas sobre Student a Teacher Email.us.', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--','Improvement noted--','Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,18,14,78.0,2.5,2.5,0,2,0,0,0,0,2,0,1,0,0,0,0
386,79,80,3,4,1,4,7,1,7,6,'F','Poor test scores--','Improvement noted--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Parent conference requested--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,14,7,79.5,2.0,4.0,0,3,0,0,0,0,1,0,1,0,1,0,0
387,0,0,0,0,0,0,0,0,0,0,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,0,0,0,0.0,0.0,0.0,1,4,0,0,0,0,0,1,0,0,0,0,0
389,80,81,4,4,4,4,1,2,7,7,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',0,8,9,80.5,4.0,4.0,1,4,0,0,1,0,0,1,0,0,0,0,0
390,82,79,2,3,2,3,10,10,4,8,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,14,18,80.5,2.0,3.0,0,5,0,0,0,0,0,1,0,0,0,0,0
391,76,81,3,3,4,4,4,6,3,22,'M','Incomplete homework--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,0,7,28,78.5,3.5,3.5,0,2,0,0,0,0,0,1,0,2,0,0,0
392,78,81,3,5,3,5,28,2,8,6,'F',"'Demonstrates above average ability, motivation and attitude in this class--'",'Incomplete homework--','Poor test scores--','Improvement noted--','Incomplete homework--', No Comment ,'Incomplete work--',"'Demonstrates above average ability, motivation and attitude in this class--'",0,36,8,79.5,3.0,5.0,2,0,1,0,0,0,1,0,1,2,0,0,0
393,74,78,3,1,1,2,8,19,8,23,'M','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--',0,16,42,76.0,2.0,1.5,0,3,1,0,1,0,1,0,0,0,0,0,0
394,66,75,0,0,4,4,1,0,4,0,'M','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Can do better',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Parent conference requested--',0,5,0,70.5,2.0,2.0,0,3,0,0,0,0,1,0,0,0,1,0,0
395,81,84,4,5,2,5,7,0,9,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,16,3,82.5,3.0,5.0,0,7,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,'M','Poor test scores--','Conscientious about classroom responsibilities--', No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'", No Comment ,'Conscientious about classroom responsibilities--', No Comment ,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,2,0,0,0,0,0
397,75,81,2,3,2,3,0,0,0,0,'M','Needs to participate more in class',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,0,0,78.0,2.0,3.0,0,5,0,0,0,0,0,0,0,0,0,0,0
398,78,78,2,3,3,3,2,0,1,11,'F','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment , No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,3,11,78.0,2.5,3.0,0,3,0,0,1,0,0,0,0,0,0,0,0
399,73,71,3,2,2,3,6,2,11,14,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--','Parent conference requested--','Poor test scores--', No Comment ,'Incomplete work--','Inattentiveness in class--',0,17,16,72.0,2.5,2.5,0,1,1,0,0,1,2,0,0,0,1,0,0
400,75,0,2,1,0,0,1,0,0,0,'F','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--','Incomplete work--IXL',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,1,0,37.5,1.0,0.5,0,3,1,0,0,0,1,1,0,0,0,0,0
401,76,82,3,4,4,4,13,2,4,13,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,17,15,79.0,3.5,4.0,0,7,0,0,0,0,0,0,0,0,0,0,0
402,0,81,0,0,2,4,0,0,4,6,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Some date Student is doing very well. He is participating more, which is great because he is bright and insightful. Overall I am very pleased and enjoy having him in class.'",'Inattentiveness in class--','Inattentiveness in class--',0,4,6,40.5,1.0,2.0,0,2,0,0,0,2,1,0,0,0,0,0,0
403,81,75,2,3,1,3,3,0,7,2,'F','Poor test scores--','Parent conference requested--','Student needs extra help both in content and time management. Tutoring is offered after school and my door is always opened to help. Please reach out to me if you have specific questions about Student to Teacher Email.us.-- Student necesita ayuda adicional tanto en el contenido como en la gestión del tiempo. Se ofrece tutoría después de la escuela y mi puerta siempre está abierta para ayudar. Comuníquese conmigo si tiene preguntas específicas sobre Student a Teacher Email.us.','Incomplete homework--', No Comment ,'Improvement noted--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor class attendance--',0,10,2,78.0,1.5,3.0,0,1,0,0,0,0,1,0,1,1,1,1,0
404,0,0,0,0,0,0,0,0,0,0,'F', No Comment ,'Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--IXL','Unprepared for class--','Poor test scores--', No Comment ,0,0,0,0.0,0.0,0.0,0,1,1,1,1,0,1,0,0,0,0,0,0
405,78,77,3,4,1,4,6,14,21,31,'F','Poor class attendance--','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--', No Comment ,0,27,45,77.5,2.0,4.0,0,3,0,0,0,0,0,1,0,1,0,1,0
406,76,80,1,4,2,4,5,2,3,3,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Parent conference requested--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,0,8,5,78.0,1.5,4.0,0,3,1,1,0,0,0,0,0,0,1,0,0
407,76,82,2,2,2,4,7,0,2,0,'F','Poor test scores--',"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--','Needs to participate more in class', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,9,0,79.0,2.0,3.0,1,2,0,1,0,0,1,0,0,0,0,0,0
408,73,72,3,4,0,0,8,12,15,10,'M', No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--','Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Improvement noted--',0,23,22,72.5,1.5,2.0,0,2,0,0,2,0,0,0,1,0,0,0,0
409,76,82,3,4,3,3,8,2,5,6,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--',0,13,8,79.0,3.0,3.5,0,5,0,0,1,0,0,0,0,0,0,0,0
410,0,75,0,0,3,1,0,0,12,2,'M', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'","'Demonstrates above average ability, motivation and attitude in this class--'",'Unprepared for class--','Conscientious about classroom responsibilities--', No Comment ,0,12,2,37.5,1.5,0.5,1,2,0,0,1,0,0,1,0,0,0,0,0
411,76,75,2,3,2,3,6,4,3,11,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--','Conscientious about classroom responsibilities--','Inattentiveness in class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,9,15,75.5,2.0,3.0,0,3,1,0,1,1,0,1,0,0,0,0,0
412,80,84,3,3,1,2,3,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,3,0,82.0,2.0,2.5,0,6,0,0,0,0,0,0,0,0,0,0,0
413,86,88,0,0,0,0,4,0,6,0,'M','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,10,0,87.0,0.0,0.0,1,4,0,1,0,0,0,1,0,0,0,0,0
414,84,86,4,5,4,5,6,0,10,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',0,16,1,85.0,4.0,5.0,0,5,1,0,0,0,0,1,0,0,0,0,0
415,82,82,4,4,3,4,12,3,8,14,'M','Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,20,17,82.0,3.5,4.0,0,5,1,0,0,0,0,1,0,0,0,0,0
416,67,67,1,2,2,2,9,25,4,25,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,13,50,67.0,1.5,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,76,73,2,1,1,1,2,0,1,6,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--','Conscientious about classroom responsibilities--', No Comment ,0,3,6,74.5,1.5,1.0,0,3,1,0,1,0,0,1,0,0,0,0,0
418,0,0,0,0,0,0,0,0,0,0,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--','Incomplete homework--', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,0,0,0.0,0.0,0.0,1,3,0,1,0,0,1,0,0,1,0,0,0
419,76,48,1,3,0,0,13,1,1,4,'F', No Comment ,'Inattentiveness in class--','Incomplete work--','Poor class attendance--','Conscientious about classroom responsibilities--','Parent conference requested--','Poor class attendance--', No Comment ,0,14,5,62.0,0.5,1.5,0,0,1,0,0,1,0,1,0,0,1,2,0
420,75,76,2,2,1,1,7,22,13,14,'M','Inattentiveness in class--','Inattentiveness in class--','Incomplete work--','Incomplete work--', No Comment ,'Unprepared for class--','Inattentiveness in class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,20,36,75.5,1.5,1.5,0,1,2,0,1,3,0,0,0,0,0,0,0
421,79,83,3,4,3,3,1,4,3,0,'F','Conscientious about classroom responsibilities--', No Comment ,'Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,4,4,81.0,3.0,3.5,1,2,0,1,0,0,1,1,0,0,0,0,0
422,73,0,2,2,0,0,6,6,0,0,'M','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Should go to tutoring', No Comment ,'Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,6,6,36.5,1.0,1.0,1,3,0,0,1,0,1,0,0,0,0,0,0
423,68,77,3,4,2,4,13,15,4,28,'F','Excessive lateness--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--','Conscientious about classroom responsibilities--','Conscientious about classroom responsibilities--',0,17,43,72.5,2.5,4.0,0,3,0,0,1,0,0,2,0,0,0,0,1
424,0,0,0,0,0,0,0,0,0,0,'M','Unprepared for class--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,0,0,0.0,0.0,0.0,1,1,0,1,1,0,0,2,0,0,0,0,0
425,0,85,0,0,2,0,0,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,0,0,42.5,1.0,0.0,0,4,0,1,0,0,0,1,0,0,0,0,0
426,72,79,4,4,3,3,3,20,2,18,'F','Poor class attendance--','Incomplete homework--','Poor test scores--','Inattentiveness in class--', No Comment , No Comment ,'Conscientious about classroom responsibilities--', No Comment ,0,5,38,75.5,3.5,3.5,0,0,0,0,0,1,1,1,0,1,0,1,0
427,81,82,2,3,2,4,0,0,2,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,2,1,81.5,2.0,3.5,0,4,0,0,0,0,0,0,0,0,0,0,0
428,78,60,4,4,0,0,12,20,23,28,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,35,48,69.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,72,78,3,3,1,4,1,0,1,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,2,0,75.0,2.0,3.5,0,5,1,0,0,0,0,0,0,0,0,0,0
430,82,80,3,4,3,5,10,0,12,4,'F','Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,22,4,81.0,3.0,4.5,1,3,0,0,1,0,0,1,0,0,0,0,0
431,0,0,0,0,0,0,0,0,0,0,'M', No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment , No Comment ,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
432,75,75,1,1,2,1,5,0,2,7,'M', No Comment ,'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,0,7,7,75.0,1.5,1.0,0,3,0,0,0,0,0,2,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,'M','Incomplete homework--','Poor test scores--', No Comment ,'Can do better', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,0,0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0,0
434,79,78,3,2,2,1,4,3,5,5,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Parent conference requested--','Poor test scores--','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,9,8,78.5,2.5,1.5,0,4,0,0,0,0,1,1,0,0,1,0,0
435,84,82,4,5,4,5,10,1,6,0,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment , No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',0,16,1,83.0,4.0,5.0,0,3,1,0,0,0,0,2,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,'M',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',0,0,0,0.0,0.0,0.0,1,5,0,1,0,0,0,0,0,0,0,0,0
437,0,76,0,0,1,0,0,0,1,2,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--','Conscientious about classroom responsibilities--','Incomplete work--', No Comment , No Comment ,'Incomplete homework--', No Comment ,0,1,2,38.0,0.5,0.0,0,1,1,0,0,0,1,1,0,1,0,0,0
438,0,0,0,0,0,0,0,0,0,0,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--', No Comment , No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",0,0,0,0.0,0.0,0.0,2,2,0,0,0,0,0,1,0,1,0,0,0
439,81,86,4,4,4,4,1,0,0,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",0,1,1,83.5,4.0,4.0,0,5,1,0,0,0,1,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,'M','Demonstrates outstanding effort--','Conscientious about classroom responsibilities--','Incomplete work--', No Comment ,'Incomplete homework--','Poor test scores--', No Comment ,'Inattentiveness in class--',0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,1,1,0,1,0,0,0
441,81,78,2,5,2,4,20,25,6,31,'F','Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor class attendance--', No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,0,26,56,79.5,2.0,4.5,0,3,0,0,0,0,0,1,0,1,0,1,0
442,0,64,0,0,0,0,0,0,5,2,'M', No Comment ,'Missing Projects','Incomplete homework--', No Comment , No Comment ,'Unprepared for class--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--',0,5,2,32.0,0.0,0.0,0,1,1,0,1,0,0,0,0,1,0,0,0
443,78,80,2,4,3,3,2,0,0,0,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,2,0,79.0,2.5,3.5,0,4,0,0,0,0,1,0,0,1,0,0,0
444,82,85,3,1,4,3,2,0,4,0,'M','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,0,6,0,83.5,3.5,2.0,0,2,0,0,0,0,0,2,0,0,0,0,0
445,0,80,0,0,4,0,0,0,8,1,'M','Conscientious about classroom responsibilities--', No Comment , No Comment ,'Incomplete work. A missing project- El folleto turístico.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Conscientious about classroom responsibilities--', No Comment ,0,8,1,40.0,2.0,0.0,0,2,1,0,0,0,0,2,0,0,0,0,0
446,81,86,3,4,3,4,4,2,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",0,4,2,83.5,3.0,4.0,1,5,0,0,0,0,0,0,0,0,0,0,0
447,0,0,0,0,0,0,0,0,0,0,'F','Conscientious about classroom responsibilities--','Incomplete work. A missing project- El folleto turístico.','Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - Reune aceptables normas de cooperation, trabajo, aptitud y esfuerzo.'",'Poor test scores--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,0,0,0,0.0,0.0,0.0,1,1,1,0,0,0,2,1,0,0,0,0,0
